Date,High,Low,Open,Close,Volume,Adj Close
2018-01-29,170.16000366210938,167.07000732421875,170.16000366210938,167.9600067138672,50640400.0,165.47567749023438
2018-01-30,167.3699951171875,164.6999969482422,165.52999877929688,166.97000122070312,46048200.0,164.50033569335938
2018-01-31,168.44000244140625,166.5,166.8699951171875,167.42999267578125,32478900.0,164.95352172851562
2018-02-01,168.6199951171875,166.75999450683594,167.1699981689453,167.77999877929688,47230800.0,165.29835510253906
2018-02-02,166.8000030517578,160.10000610351562,166.0,160.5,86593800.0,158.1260223388672
2018-02-05,163.8800048828125,156.0,159.10000610351562,156.49000549316406,72738500.0,154.17535400390625
2018-02-06,163.72000122070312,154.0,154.8300018310547,163.02999877929688,68243800.0,160.61859130859375
2018-02-07,163.39999389648438,159.07000732421875,163.08999633789062,159.5399932861328,51608600.0,157.1802215576172
2018-02-08,161.0,155.02999877929688,160.2899932861328,155.14999389648438,54390500.0,152.8551483154297
2018-02-09,157.88999938964844,150.24000549316406,157.07000732421875,156.41000366210938,70672600.0,154.7248077392578
2018-02-12,163.88999938964844,157.50999450683594,158.5,162.7100067138672,60819500.0,160.95692443847656
2018-02-13,164.75,161.64999389648438,161.9499969482422,164.33999633789062,32549200.0,162.56935119628906
2018-02-14,167.5399932861328,162.8800048828125,163.0399932861328,167.3699951171875,40644900.0,165.5666961669922
2018-02-15,173.08999633789062,169.0,169.7899932861328,172.99000549316406,51147200.0,171.12615966796875
2018-02-16,174.82000732421875,171.77000427246094,172.36000061035156,172.42999267578125,40176100.0,170.5721893310547
2018-02-20,174.25999450683594,171.4199981689453,172.0500030517578,171.85000610351562,33930500.0,169.99844360351562
2018-02-21,174.1199951171875,171.00999450683594,172.8300018310547,171.07000732421875,37471600.0,169.2268524169922
2018-02-22,173.9499969482422,171.7100067138672,171.8000030517578,172.5,30991900.0,170.6414337158203
2018-02-23,175.64999389648438,173.5399932861328,173.6699981689453,175.5,33812400.0,173.60910034179688
2018-02-26,179.38999938964844,176.2100067138672,176.35000610351562,178.97000122070312,38162200.0,177.04173278808594
2018-02-27,180.47999572753906,178.16000366210938,179.10000610351562,178.38999938964844,38928100.0,176.46798706054688
2018-02-28,180.6199951171875,178.0500030517578,179.25999450683594,178.1199951171875,37782100.0,176.2008819580078
